Line Item,2021,2022,2023,2024,2025
Total net sales,469822.0,513983.0,574785.0,637959.0,716924.0
Cost of sales,272344.0,288831.0,304739.0,326288.0,356414.0
Fulfillment,75111.0,84299.0,90619.0,98505.0,109074.0
Technology and infrastructure,56052.0,73213.0,85622.0,88544.0,108521.0
Sales and marketing,32551.0,42238.0,44370.0,43907.0,47129.0
General and administrative,8823.0,11891.0,11816.0,11359.0,11172.0
"Other operating expense (income), net",62.0,1263.0,767.0,763.0,4639.0
Total operating expenses,444943.0,501735.0,537933.0,569366.0,636949.0
Operating income,24879.0,12248.0,36852.0,68593.0,79975.0
Interest income,448.0,989.0,2949.0,4677.0,4381.0
Interest expense,-1809.0,-2367.0,-3182.0,-2406.0,-2274.0
"Other income (expense), net",14633.0,-16806.0,938.0,-2250.0,15229.0
Total non-operating income,,,705.0,21.0,17336.0
Income before income taxes,,,37557.0,68614.0,97311.0
Provision for income taxes,,,-7120.0,-9265.0,-19087.0
"Equity-method investment activity, net of tax",4.0,-3.0,-12.0,-101.0,-554.0
Net income,,,30425.0,59248.0,77670.0
Basic earnings per share (in dollars per share),3.3,-0.27,2.95,5.66,7.29
Diluted earnings per share (in dollars per share),3.24,-0.27,2.9,5.53,7.17
Basic (in shares),10117.0,10189.0,10304.0,10473.0,10656.0
Diluted (in shares),10296.0,10189.0,10492.0,10721.0,10827.0
Total non-operating income (expense),13272.0,-18184.0,705.0,21.0,
Income (loss) before income taxes,38151.0,-5936.0,37557.0,68614.0,
Benefit (provision) for income taxes,-4791.0,3217.0,-7120.0,-9265.0,
Net income (loss),33364.0,-2722.0,30425.0,59248.0,
