Line Item,2021,2022,2023,2024,2025
Revenues,257637.0,282836.0,307394.0,350018.0,402836.0
Cost of revenues,110939.0,126203.0,133332.0,146306.0,162535.0
Research and development,31562.0,39500.0,45427.0,49326.0,61087.0
Sales and marketing,22912.0,26567.0,27917.0,27808.0,28693.0
General and administrative,13510.0,15724.0,16425.0,14188.0,21482.0
Total costs and expenses,178923.0,207994.0,223101.0,237628.0,273797.0
Income from operations,78714.0,74842.0,84293.0,112390.0,129039.0
"Other income (expense), net",12020.0,-3514.0,1424.0,7425.0,29787.0
Income before income taxes,,71328.0,85717.0,119815.0,158826.0
Provision for income taxes,14701.0,11356.0,11922.0,19697.0,26656.0
Net income,76033.0,59972.0,73795.0,100118.0,132170.0
Basic net income per share (in dollars per share),,4.59,5.84,8.13,10.91
Diluted net income per share (in dollars per share),,4.56,5.8,8.04,10.81
Total,90734.0,71328.0,85717.0,,
"Basic net income per share of Class A, Class B, and Class C stock (in dollars per share)",5.69,4.59,5.84,,
"Diluted net income per share of Class A, Class B, and Class C stock (in dollars per share)",5.61,4.56,5.8,,
