Line Item,2021,2022,2023,2024,2025
Revenue,117929.0,116609.0,134902.0,164501.0,200966.0
Cost of revenue,22649.0,25249.0,25959.0,30161.0,36175.0
Research and development,24655.0,35338.0,38483.0,43873.0,57372.0
Marketing and sales,14043.0,15262.0,12301.0,11347.0,11991.0
General and administrative,9829.0,11816.0,11408.0,9740.0,12152.0
Total costs and expenses,71176.0,87665.0,88151.0,95121.0,117690.0
Income (loss) from operations,,28944.0,46751.0,69380.0,83276.0
"Interest and other income, net",,,677.0,1283.0,2656.0
Income before provision for income taxes,47284.0,28819.0,47428.0,70663.0,85932.0
Provision for income taxes,7914.0,5619.0,8330.0,8303.0,25474.0
Net income,39370.0,23200.0,39098.0,62360.0,60458.0
Basic (in dollars per share),13.99,8.63,15.19,24.61,23.98
Diluted (in dollars per share),13.77,8.59,14.87,23.86,23.49
Basic (in shares),2815.0,2687.0,2574.0,2534.0,2521.0
Diluted (in shares),2859.0,2702.0,2629.0,2614.0,2574.0
"Interest and other income (expense), net",531.0,-125.0,677.0,1283.0,
Income from operations,46753.0,28944.0,46751.0,,
