Line Item,2022,2023,2024,2025,2026
Revenue,198270.0,211915.0,245122.0,281724.0,331839.0
Cost of revenue,62650.0,65863.0,74114.0,87831.0,106374.0
Gross margin,135620.0,146052.0,171008.0,193893.0,225465.0
Research and development,24512.0,27195.0,29510.0,32488.0,35562.0
Sales and marketing,21825.0,22759.0,24456.0,25654.0,26710.0
General and administrative,5900.0,7575.0,7609.0,7223.0,7956.0
Operating income,83383.0,88523.0,109433.0,128528.0,155237.0
"Other income (expense), net",333.0,788.0,-1646.0,-4901.0,10697.0
Income before income taxes,83716.0,89311.0,107787.0,123627.0,165934.0
Provision for income taxes,10978.0,16950.0,19651.0,21795.0,32185.0
Net income,72738.0,72361.0,88136.0,101832.0,133749.0
Basic,9.7,9.72,11.86,13.7,18.0
Diluted,9.65,9.68,11.8,13.64,17.95
