Line Item,2022,2023,2024,2025,2026
Net income,6717.0,8503.0,10467.0,12443.0,17087.0
Net foreign currency translation (losses) gains,,,-17.0,369.0,-232.0
Net unrealized gains on defined benefit plans,190.0,271.0,31.0,13.0,45.0
Net unrealized (losses) gains on cash flow hedges,,102.0,77.0,-125.0,-18.0
"Other, net",0.0,1.0,-1.0,0.0,0.0
"Total other comprehensive (loss) income, net",,,90.0,257.0,-205.0
Comprehensive income,6200.0,8673.0,10557.0,12700.0,16882.0
Net foreign currency translation gains (losses),,-204.0,-17.0,369.0,
"Total other comprehensive income, net",,170.0,90.0,257.0,
Net foreign currency translation losses,-707.0,-204.0,-17.0,,
Net unrealized gains on cash flow hedges,0.0,102.0,77.0,,
"Total other comprehensive income (loss), net",-517.0,170.0,90.0,,
