Line Item,2022,2023,2024,2025,2026
Cloud,,,19774.0,24506.0,33989.0
Software,,,24690.0,24724.0,24541.0
Hardware,3183.0,3274.0,3066.0,2936.0,3084.0
Services,3205.0,5594.0,5431.0,5233.0,5743.0
Total revenues,42440.0,49954.0,52961.0,57399.0,67357.0
Cloud and software,,,9427.0,11569.0,17597.0
Sales and marketing,8047.0,8833.0,8274.0,8651.0,8331.0
Research and development,7219.0,8623.0,8915.0,9860.0,10272.0
General and administrative,1317.0,1579.0,1548.0,1602.0,1618.0
Amortization of intangible assets,1150.0,3582.0,3010.0,2307.0,1671.0
Restructuring and other,,,718.0,374.0,1838.0
Total operating expenses,31514.0,36861.0,37608.0,39721.0,46751.0
Operating income,10926.0,13093.0,15353.0,17678.0,20606.0
Interest expense,-2755.0,-3505.0,-3514.0,-3578.0,-4599.0
"Non-operating income (expenses), net",,-462.0,-98.0,60.0,3547.0
Income before income taxes,7649.0,9126.0,11741.0,14160.0,19554.0
Provision for income taxes,932.0,623.0,1274.0,1717.0,2467.0
Net income,6717.0,8503.0,10467.0,12443.0,17087.0
Preferred stock dividends,,,0.0,0.0,103.0
"Net income available to common shareholders, Basic",,,10467.0,12443.0,16984.0
"Net income available to common shareholders, Diluted",,,10467.0,12443.0,16984.0
Basic,2.49,3.15,3.82,4.46,5.94
Diluted,2.41,3.07,3.71,4.34,5.83
Cloud services and license support,30174.0,35307.0,39383.0,44029.0,
Cloud license and on-premise license,5878.0,5779.0,5081.0,5201.0,
Acquisition related and other,4713.0,190.0,314.0,75.0,
Restructuring,191.0,490.0,404.0,299.0,
"Non-operating expenses, net",-522.0,-462.0,-98.0,,
