Line Item,Total,Preferred Stock and Additional Paid in Capital,Common Stock and Additional Paid in Capital,Preferred and Common Stock Including Additional Paid in Capital,Accumulated Deficit,Accumulated Other Comprehensive Loss,Noncontrolling Interests
"Balances at May. 31, 2023",,1556.0,,,,30215.0,-27620.0
"Beginning preferred stock shares outstanding at May. 31, 2023",,,0.0,,,,
"Beginning common stock shares outstanding at May. 31, 2023",,,,,2713.0,,
Common stock issued under stock-based compensation plans,,545.0,,,,545.0,0.0
"Common stock issued under stock-based compensation plans, Shares",,,0.0,,68.0,,
Common stock issued under stock purchase plans,,197.0,,,,197.0,0.0
"Common stock issued under stock purchase plans, Shares",,,0.0,,2.0,,
Stock-based compensation,,3974.0,,,,3974.0,0.0
Repurchases of common stock,,-1200.0,,,,-117.0,-1083.0
"Repurchases of common stock, Shares",,-10.6,0.0,,-11.0,,
Shares repurchased for tax withholdings upon vesting of restricted stock-based awards,,-2040.0,,,,-2040.0,0.0
"Shares repurchased for tax withholdings upon vesting of restricted stock-based awards, Shares",,,0.0,,-17.0,,
Cash dividends declared,,-4391.0,,,,0.0,-4391.0
"Other, net",,-55.0,,,,-10.0,-1.0
"Other, net, Shares",,,0.0,,0.0,,
Net income,,10653.0,,,,0.0,10467.0
"Balances at May. 31, 2024",,9239.0,,,,32764.0,-22628.0
"Ending preferred stock shares outstanding at May. 31, 2024",,,0.0,,,,
"Ending common stock shares outstanding at May. 31, 2024",,,,,2755.0,,
Common stock issued under stock-based compensation plans,,447.0,,,,447.0,0.0
"Common stock issued under stock-based compensation plans, Shares",,,0.0,,62.0,,
Common stock issued under stock purchase plans,,206.0,,,,206.0,0.0
"Common stock issued under stock purchase plans, Shares",,,0.0,,1.0,,
Stock-based compensation,,4674.0,,,,4674.0,0.0
Repurchases of common stock,,-600.0,,,,-47.0,-553.0
"Repurchases of common stock, Shares",,-3.9,0.0,,-4.0,,
Shares repurchased for tax withholdings upon vesting of restricted stock-based awards,,-900.0,,,,-900.0,0.0
"Shares repurchased for tax withholdings upon vesting of restricted stock-based awards, Shares",,,0.0,,-7.0,,
Cash dividends declared,,-4743.0,,,,0.0,-4743.0
"Other, net",,19.0,,,,-37.0,0.0
"Other, net, Shares",,,0.0,,0.0,,
Net income,,12627.0,,,,0.0,12443.0
"Balances at May. 31, 2025",,20969.0,,,,37107.0,-15481.0
"Ending preferred stock shares outstanding at May. 31, 2025",,,0.0,,,,
"Ending common stock shares outstanding at May. 31, 2025",,2807.0,,,2807.0,,
Mandatory convertible preferred stock issued,,4954.0,,,,4954.0,0.0
"Mandatory convertible preferred stock issued, Shares",,,0.0,,0.0,,
Common stock issued under stock-based compensation plans,,1241.0,,,,1241.0,0.0
"Common stock issued under stock-based compensation plans, Shares",,,0.0,,72.0,,
Common stock issued under stock purchase plans,,208.0,,,,208.0,0.0
"Common stock issued under stock purchase plans, Shares",,,0.0,,1.0,,
Stock-based compensation,,4811.0,,,,4811.0,0.0
Repurchases of common stock,,-93.0,,,,-6.0,-87.0
"Repurchases of common stock, Shares",,-0.4,0.0,,0.0,,
Shares repurchased for tax withholdings upon vesting of restricted stock-based awards,,-111.0,,,,-111.0,0.0
"Shares repurchased for tax withholdings upon vesting of restricted stock-based awards, Shares",,,0.0,,0.0,,
Preferred stock dividends,,-103.0,,,,0.0,-103.0
Cash dividends declared,,-5725.0,,,,0.0,-5725.0
"Other, net",,-404.0,,,,-7.0,0.0
"Other, net, Shares",,,0.0,,0.0,,
Net income,,17309.0,,,,0.0,17087.0
"Balances at May. 31, 2026",,43056.0,,,,48197.0,-4309.0
"Ending preferred stock shares outstanding at May. 31, 2026",,,0.0,,,,
"Ending common stock shares outstanding at May. 31, 2026",,2880.0,,,2880.0,,
